Timestamp,Followers,Following ,Likes on Recent Photo
12/22/2018 15:06:12,430,330,161
12/22/2018 15:08:38,111,130,39
12/22/2018 15:09:53,299,431,90
12/22/2018 15:10:49,277,654,121
12/22/2018 15:11:24,339,226,115
12/22/2018 15:13:20,303,210,65
12/22/2018 15:13:49,55,37,15
12/22/2018 15:14:27,75,115,49
12/22/2018 15:15:11,330,499,115
12/22/2018 15:15:38,886,493,123
12/22/2018 15:16:07,157,61,46
12/22/2018 15:18:13,129,31,45
12/22/2018 15:19:05,751,520,100
12/22/2018 15:19:29,169,100,118
12/22/2018 15:20:07,138,242,84
12/22/2018 15:20:36,233,1135,87
12/22/2018 15:21:03,100,165,64
12/22/2018 15:21:36,723,437,181
12/22/2018 15:22:19,175,83,51
12/22/2018 15:23:37,638,204,140
12/22/2018 15:25:27,544,232,256
12/22/2018 15:25:59,149,126,63
12/22/2018 15:26:27,308,314,152
12/22/2018 15:26:56,707,322,184
12/22/2018 15:27:54,771,206,140
12/22/2018 15:28:24,165,139,68
12/22/2018 15:28:50,332,314,45
12/22/2018 15:29:51,1034,192,120
12/22/2018 15:30:27,448,239,114
12/22/2018 15:39:07,242,323,58
